x,y,t,z
0.010381,0.01132,1,-1.207044
0.008839,0.03586,1,-2.534458
0.008674,0.082367,1,0.031269
0.011435,0.11128,1,0.040038
0.009959,0.13004,1,0.32047
0.019252,0.160354,1,-1.217257
0.017789,0.214184,1,-0.001935
0.023038,0.239061,1,0.672794
0.025664,0.277341,1,-1.161957
0.018564,0.297299,1,-1.347016
0.010933,0.32105,1,-1.960057
0.022744,0.358792,1,-0.283763
0.007151,0.462041,1,-0.651726
0.00555,0.483156,1,-0.18347
0.007736,0.511264,1,0.466489
0.015892,0.544535,1,-1.098242
0.028006,0.586702,1,1.802039
0.027689,0.603591,1,0.822982
0.026117,0.643816,1,0.837537
0.01082,0.672031,1,-0.517881
0.007967,0.733664,1,0.297596
0.004949,0.773406,1,-0.657758
0.003832,0.834957,1,-0.176456
0.024674,0.854758,1,-1.137305
0.010588,0.897087,1,0.534182
0.026626,0.920864,1,-1.727155
0.018503,0.941552,1,-1.402549
0.025895,0.991863,1,-1.241293
0.043441,0.013662,1,-0.230392
0.040989,0.070337,1,-1.28405
0.050038,0.10148,1,-1.017889
0.054778,0.151483,1,0.084835
0.051636,0.169029,1,0.426601
0.055817,0.224665,1,-0.140249
0.046797,0.302466,1,-2.016336
0.049862,0.324597,1,-0.960259
0.035349,0.369825,1,0.190612
0.037309,0.402601,1,0.060562
0.043813,0.427687,1,1.039414
0.034777,0.447834,1,1.210873
0.047675,0.481344,1,-1.921736
0.05212,0.521573,1,-1.047658
0.052791,0.558734,1,0.602606
0.057535,0.574704,1,0.952141
0.038339,0.615439,1,0.695329
0.041812,0.64935,1,1.050638
0.037592,0.667778,1,-0.063645
0.052703,0.715284,1,-1.102061
0.045568,0.732588,1,-1.478502
0.05519,0.77674,1,-1.404223
0.038179,0.795677,1,-1.677204
0.041962,0.820403,1,-1.317494
0.043626,0.857396,1,-1.939558
0.038629,0.896815,1,-1.917674
0.038207,0.914031,1,-1.850558
0.035273,0.957758,1,-1.99295
0.0485,0.990519,1,-0.106373
0.076206,0.010666,1,-2.457893
0.083628,0.043116,1,-0.860539
0.082246,0.087593,1,-0.480909
0.067929,0.120933,1,0.442142
0.073086,0.170896,1,-0.203144
0.070806,0.209279,1,-1.03301
0.082894,0.254163,1,-0.350512
0.077922,0.309231,1,0.141867
0.071441,0.337174,1,1.152445
0.076002,0.356945,1,1.96173
0.080864,0.392335,1,0.268291
0.080351,0.425512,1,-0.314059
0.071967,0.444476,1,0.4167
0.075406,0.488798,1,-0.530496
0.077018,0.505909,1,-1.655407
0.066289,0.537388,1,-0.200742
0.090377,0.568593,1,1.671376
0.067696,0.61482,1,0.621234
0.074115,0.637657,1,0.154847
0.070091,0.673046,1,0.799016
0.068811,0.692325,1,-0.414998
0.080292,0.74233,1,1.1832
0.084249,0.860627,1,0.948418
0.085523,0.886475,1,0.171369
0.070514,0.910615,1,-1.464022
0.077827,0.955295,1,-1.07644
0.083788,0.995469,1,1.1131
0.114329,0.021952,1,-1.615211
0.098482,0.051581,1,-1.007845
0.11867,0.069303,1,-0.774735
0.107025,0.102159,1,-0.382152
0.110085,0.142741,1,-1.290913
0.11583,0.175771,1,-1.090274
0.113191,0.199247,1,-1.27959
0.108726,0.240928,1,-0.258529
0.107461,0.260287,1,-0.091217
0.099482,0.293474,1,0.825065
0.109726,0.336856,1,0.270508
0.119726,0.354624,1,1.608637
0.101456,0.380864,1,0.573058
0.105865,0.426158,1,-0.187786
0.114284,0.442778,1,-0.228688
0.112253,0.481738,1,-1.2182
0.117854,0.52011,1,-1.772137
0.098944,0.552149,1,0.577492
0.117538,0.577844,1,-1.138999
0.09871,0.645139,1,0.392718
0.097511,0.702746,1,0.335664
0.109079,0.733097,1,-0.056841
0.116158,0.767936,1,0.457435
0.117196,0.791509,1,0.7929
0.107917,0.833796,1,0.722252
0.111758,0.862499,1,1.044521
0.117786,0.901998,1,1.383494
0.104282,0.922695,1,0.635837
0.0979,0.96341,1,0.339817
0.120058,0.99388,1,0.425535
0.142895,0.003377,1,-1.861622
0.142904,0.044808,1,-2.203467
0.140597,0.078463,1,-1.839466
0.147432,0.111182,1,-0.995047
0.132976,0.147701,1,-1.62007
0.135583,0.164862,1,-1.284127
0.144834,0.222855,1,-0.991426
0.137598,0.265154,1,-0.242492
0.136239,0.304891,1,1.934147
0.133325,0.338622,1,1.027096
0.139265,0.347986,1,1.000947
0.142556,0.43227,1,-1.240318
0.148025,0.477976,1,-1.620153
0.140992,0.512804,1,-0.831843
0.144659,0.534714,1,-1.350211
0.150641,0.576466,1,-0.448943
0.14277,0.599242,1,-0.317663
0.133542,0.650228,1,0.247467
0.135979,0.671488,1,0.325382
0.14489,0.715188,1,-0.823415
0.141218,0.723113,1,0.009448
0.149879,0.801168,1,1.890328
0.147329,0.823518,1,0.415776
0.146029,0.862948,1,0.583568
0.129565,0.88546,1,1.085479
0.142093,0.927146,1,-0.091746
0.151998,0.979692,1,1.30563
0.177921,0.018532,1,-0.553795
0.16753,0.050437,1,-0.066265
0.160623,0.088426,1,-1.143525
0.177804,0.103539,1,-2.133326
0.179279,0.129409,1,-1.339205
0.160222,0.197496,1,0.195929
0.172282,0.234314,1,-0.220625
0.162453,0.262785,1,0.336804
0.163607,0.306656,1,2.52185
0.176928,0.337761,1,1.23779
0.172729,0.365868,1,-0.004648
0.163846,0.380447,1,1.17675
0.17114,0.433796,1,0.254119
0.170564,0.451262,1,-1.962089
0.166612,0.47661,1,-0.543305
0.160419,0.518518,1,-0.525223
0.180172,0.536666,1,-1.375859
0.168331,0.604972,1,0.175239
0.174885,0.630858,1,0.558708
0.179141,0.675732,1,-0.293618
0.168979,0.698298,1,0.83932
0.163172,0.734557,1,-0.948899
0.176708,0.761154,1,-0.083161
0.169338,0.794261,1,-0.214512
0.164541,0.838942,1,0.178112
0.163255,0.856512,1,1.205867
0.160014,0.893769,1,0.996246
0.168433,0.921204,1,0.069007
0.160656,0.95692,1,-0.191034
0.175939,0.9742,1,-0.311904
0.197313,0.015486,1,-0.098135
0.195241,0.054257,1,-0.346976
0.193604,0.113973,1,-2.935696
0.206931,0.15087,1,0.091456
0.19908,0.160285,1,-0.319548
0.196043,0.202877,1,-0.836397
0.204217,0.244626,1,-0.652845
0.210907,0.27668,1,1.210909
0.198262,0.284822,1,1.300181
0.212498,0.327142,1,1.619691
0.200709,0.369387,1,1.370713
0.192786,0.397267,1,0.768403
0.199965,0.412817,1,-1.016955
0.201062,0.441529,1,0.092412
0.196393,0.489,1,-0.208642
0.202631,0.549228,1,-0.385318
0.197576,0.612137,1,0.574431
0.203355,0.643531,1,-1.085774
0.206797,0.677523,1,0.108171
0.193283,0.695389,1,0.887898
0.206524,0.744815,1,-0.525175
0.214012,0.784566,1,-0.913354
0.200678,0.824096,1,-1.164376
0.213328,0.859089,1,-1.158015
0.193237,0.885169,1,-0.431063
0.206282,0.922424,1,-0.074488
0.228683,0.020305,1,0.472286
0.23294,0.040139,1,1.257712
0.22904,0.083641,1,-0.631043
