x,y,t,z
0.026609,0.023268,1,-1.207044
0.004183,0.058839,1,-2.273804
0.011264,0.09043,1,-1.792906
0.028039,0.118017,1,-1.345548
0.020653,0.172063,1,-1.40346
0.027908,0.209428,1,-1.126406
0.021695,0.245411,1,-0.435466
0.027878,0.25439,1,-0.658732
0.022434,0.296542,1,-0.952415
0.021687,0.32905,1,-1.590509
0.028125,0.35185,1,-1.483909
0.019579,0.400599,1,-0.399974
0.019383,0.429122,1,0.068826
0.020958,0.446486,1,-0.080868
0.00413,0.511275,1,0.290188
0.018906,0.543519,1,-0.389101
0.01108,0.581321,1,0.72664
0.008374,0.650939,1,0.879431
0.026358,0.664408,1,0.451062
0.019742,0.707428,1,0.126052
0.006693,0.738244,1,0.303073
0.021193,0.776002,1,-0.229597
0.006662,0.796005,1,-0.945545
0.014428,0.819162,1,-0.952298
0.01973,0.849632,1,-1.32359
0.004135,0.885988,1,-0.791428
0.025629,0.928219,1,-1.855726
0.016849,0.94522,1,-1.916546
0.013286,0.986604,1,-2.157904
0.04712,0.004067,1,-0.602986
0.058247,0.055074,1,-2.370206
0.051013,0.069784,1,-2.420139
0.040619,0.118762,1,-1.66837
0.036295,0.177965,1,-1.282354
0.055655,0.196113,1,-1.121381
0.044334,0.236223,1,-0.965406
0.035352,0.299043,1,-1.419917
0.051407,0.333207,1,-1.527412
0.051799,0.364918,1,-1.15068
0.03482,0.393053,1,-0.79951
0.046261,0.423544,1,-0.033106
0.053898,0.462672,1,0.294436
0.038272,0.479143,1,-0.517427
0.057364,0.505895,1,-0.664665
0.037342,0.549002,1,-0.308985
0.041304,0.574836,1,0.223889
0.045889,0.605777,1,0.434758
0.048063,0.641559,1,0.634227
0.058691,0.744161,1,-0.737853
0.035321,0.753418,1,-0.349894
0.046329,0.802353,1,-0.777012
0.052251,0.820003,1,-1.099255
0.045395,0.865196,1,-1.942132
0.053681,0.901032,1,-2.505181
0.041865,0.923205,1,-2.244831
0.054329,0.952012,1,-2.7942
0.055473,0.989818,1,-2.074053
0.079782,0.02719,1,-2.46466
0.073195,0.055461,1,-2.457109
0.073901,0.084709,1,-2.33335
0.070612,0.118839,1,-1.566252
0.073143,0.135603,1,-1.31902
0.072557,0.160814,1,-1.343591
0.085553,0.196873,1,-1.53643
0.072166,0.263805,1,-1.211456
0.079477,0.308791,1,-1.136614
0.080683,0.340497,1,-0.550956
0.083362,0.35624,1,-0.068763
0.088404,0.378352,1,0.019161
0.08882,0.427108,1,0.077673
0.077239,0.459917,1,0.463929
0.076301,0.472646,1,0.341476
0.083982,0.521372,1,-0.990599
0.087482,0.536008,1,-0.852999
0.077956,0.567469,1,0.189382
0.089221,0.616724,1,0.337599
0.074948,0.633653,1,0.312176
0.086913,0.663626,1,0.335802
0.077401,0.710639,1,-0.699145
0.06575,0.740192,1,-0.531662
0.071319,0.767102,1,-0.801871
0.083358,0.805128,1,-0.757322
0.079474,0.826095,1,-1.014719
0.070742,0.858503,1,-1.385411
0.076322,0.881437,1,-1.922249
0.069986,0.931686,1,-2.940469
0.088229,0.955662,1,-2.818635
0.088707,0.987836,1,-1.714902
0.105158,0.023064,1,-2.73189
0.114468,0.054989,1,-2.806401
0.118659,0.081815,1,-2.510108
0.112338,0.102981,1,-2.195825
0.118593,0.139876,1,-2.313154
0.107233,0.167869,1,-2.07988
0.103641,0.201107,1,-1.907155
0.098686,0.234335,1,-1.360713
0.121334,0.272669,1,-1.011964
0.105087,0.297683,1,-0.658483
0.10189,0.328955,1,-0.437627
0.12181,0.362587,1,0.845554
0.113517,0.382421,1,0.54441
0.109898,0.423621,1,0.215205
0.116208,0.45173,1,0.159858
0.102082,0.474491,1,-0.22215
0.10292,0.525925,1,-1.286116
0.110865,0.579319,1,-0.770167
0.10581,0.607584,1,0.250466
0.09732,0.647418,1,0.401034
0.116078,0.666585,1,0.397261
0.10165,0.711639,1,-0.470552
0.116545,0.726109,1,-0.67628
0.112433,0.756008,1,-0.679317
0.114417,0.804948,1,-0.526996
0.113087,0.833102,1,-0.685852
0.118648,0.902433,1,-1.165276
0.118975,0.925481,1,-1.486903
